C,SF,S,QP,W,SP,F,WB,T,CT,SPB,FT,FL,FD,ST,A,CS
960.0,240.0,767.2,0.0,234.0,45.0,9.6,0.2,23,1,1,6,6.0,0.16,1,28,178.9
998.8,176.25,981.9,0.0,164.5,50.5,9.988,0.14,23,1,1,5,13.0,0.018,1,28,178.6
960.0,240.0,791.3,0.0,234.0,45.0,2.4,0.2,23,1,1,5,13.0,0.018,1,56,178.4
960.0,240.0,698.3,0.0,234.0,78.0,14.4,0.2,23,1,1,5,13.0,0.018,1,28,177.3
958.55,50.45,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,176.9
960.0,240.0,754.0,0.0,234.0,45.0,117.0,0.2,23,1,1,1,13.0,0.2,1,90,176.8
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,176.6
863.0,216.0,1079.0,0.0,194.22,43.16,25.89,0.18,23,1,1,6,13.0,0.2,1,28,176.4
960.0,240.0,773.8,0.0,234.0,45.0,7.2,0.2,23,1,1,6,6.0,0.16,1,28,176.1
800.0,200.0,980.0,100.0,200.0,9.6,0.0,0.2,20,1,1,0,0.0,0.0,1,90,175.9
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,16.0,0.2,1,56,175.8
1116.7,390.85,625.35,0.0,212.17,23.45,33.501,0.14,23,1,1,6,13.0,0.2,1,28,175.6
788.0,197.0,866.8,315.0,173.0,14.77,19.7,0.18,23,1,1,6,6.0,0.16,1,21,175.5
828.0,207.0,911.0,248.0,186.4,21.0,24.84,0.18,23,1,1,4,10.0,0.44,1,28,175.3
1009.0,0.0,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,175.3
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,12.0,0.2,1,28,174.7
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,174.6
1076.77,286.23,1090.8,0.0,272.6,46.2,32.3031,0.2,23,1,1,6,12.7,0.2,1,28,174.5
1116.7,390.85,625.35,0.0,212.17,23.45,33.501,0.14,23,1,1,6,13.0,0.2,1,28,174.4
788.0,197.0,866.8,315.0,173.0,14.77,15.76,0.18,23,1,1,6,13.0,0.16,1,28,173.8
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,16.0,0.2,1,28,173.7
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,8.0,0.2,1,56,173.7
853.0,170.6,1023.6,255.9,196.19,29.86,8.53,0.19,23,1,1,6,12.0,0.2,1,56,173.7
960.0,240.0,767.2,0.0,234.0,45.0,78.0,0.2,23,1,1,1,13.0,0.2,1,90,173.6
960.0,240.0,780.5,0.0,234.0,45.0,4.8,0.2,23,1,1,6,6.0,0.16,1,28,173.6
960.0,240.0,793.7,0.0,234.0,45.0,0.0,0.2,23,1,1,0,0.0,0.0,1,56,173.6
1116.7,390.85,625.35,0.0,212.17,23.45,44.668,0.14,23,1,1,6,13.0,0.2,1,28,173.3
960.0,240.0,740.7,0.0,234.0,45.0,156.0,0.2,23,1,1,1,13.0,0.2,1,56,173.2
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,173.2
792.0,264.0,1056.0,0.0,173.0,21.1,15.84,0.16,23,1,1,6,13.0,0.2,1,28,173.1
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,172.9
960.0,240.0,754.0,0.0,234.0,45.0,117.0,0.2,23,1,1,1,13.0,0.2,1,56,172.7
853.0,170.6,1023.6,255.9,196.19,29.86,25.59,0.19,23,1,1,6,8.0,0.2,1,28,172.6
960.0,240.0,706.2,0.0,234.0,57.0,156.0,0.2,23,1,1,1,13.0,0.2,1,90,172.5
1076.77,286.23,1090.8,0.0,272.6,46.2,32.3031,0.2,23,1,1,6,12.7,0.2,1,28,172.5
800.0,267.0,1067.0,0.0,175.0,21.3,8.0,0.16,23,1,1,6,13.0,0.2,1,90,172.3
960.0,240.0,787.1,0.0,234.0,45.0,2.4,0.2,23,1,1,6,6.0,0.16,1,28,172.1
960.0,240.0,798.8,0.0,234.0,39.0,9.6,0.2,23,1,1,5,13.0,0.018,1,28,172.0
1009.0,0.0,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,172.0
788.0,197.0,866.8,315.0,173.0,14.77,19.7,0.18,23,1,1,6,13.0,0.16,1,14,171.9
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,16.0,0.2,1,14,171.6
1009.0,0.0,1456.8,0.0,201.8,34.2,0.0,0.2,23,1,1,0,0.0,0.0,1,90,171.4
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,171.2
960.0,240.0,793.9,0.0,234.0,42.0,7.2,0.2,23,1,1,5,13.0,0.018,1,28,171.1
960.0,240.0,720.7,0.0,234.0,57.0,117.0,0.2,23,1,1,1,13.0,0.2,1,90,170.9
1116.7,390.85,625.35,0.0,212.17,23.45,0.0,0.14,23,1,1,0,0.0,0.0,1,21,170.9
1116.7,390.85,625.35,0.0,212.17,23.45,0.0,0.14,23,1,1,0,0.0,0.0,1,28,170.9
960.0,240.0,767.2,0.0,234.0,45.0,78.0,0.2,23,1,1,1,13.0,0.2,1,56,170.7
788.0,197.0,866.8,315.0,173.0,14.77,15.76,0.18,23,1,1,6,13.0,0.16,1,21,170.7
788.0,197.0,866.8,315.0,173.0,14.77,19.7,0.18,23,1,1,6,6.0,0.16,1,14,170.6
960.0,240.0,773.8,0.0,234.0,45.0,58.5,0.2,23,1,1,1,13.0,0.2,1,90,170.5
850.0,260.0,850.0,212.0,170.0,45.0,156.0,0.15,23,1,1,1,13.0,0.2,1,28,170.4
810.0,90.0,1539.0,0.0,162.0,18.0,0.0,0.18,20,1,1,0,0.0,0.0,1,90,170.0
810.0,90.0,1539.0,0.0,162.0,18.0,0.0,0.18,20,1,1,0,0.0,0.0,1,90,170.0
1116.7,390.85,625.35,0.0,212.17,23.45,22.334,0.14,23,1,1,6,13.0,0.2,1,28,169.8
960.0,240.0,780.5,0.0,234.0,45.0,39.0,0.2,23,1,1,1,13.0,0.2,1,90,169.4
960.0,240.0,764.7,0.0,234.0,45.0,78.0,0.2,23,1,1,1,13.0,0.2,1,90,169.1
850.0,212.5,935.0,255.0,212.5,21.2,25.5,0.2,23,1,1,6,12.0,0.2,1,28,169.1
998.8,176.25,991.1,0.0,141.0,77.6,4.994,0.12,23,1,1,5,13.0,0.018,1,28,169.1
1116.7,390.85,625.35,0.0,212.17,23.45,55.835,0.14,23,1,1,6,13.0,0.2,1,21,168.5
853.0,170.6,1023.6,255.9,196.19,29.86,51.18,0.19,23,1,1,6,8.0,0.2,1,14,168.4
853.0,170.6,1023.6,255.9,196.19,29.86,0.0,0.19,23,1,1,0,0.0,0.0,1,56,168.4
922.0,230.0,1152.0,0.0,184.0,11.52,13.83,0.16,23,1,1,4,12.0,0.018,1,28,168.2
