C,SF,S,QP,W,SP,F,WB,FT,FL,FD,A,CS
922,230,1152,0,184,11.52,1.844,0.16,4,12,0.018,28,158.9
828,207,911,248,186.4,21,8.28,0.18,4,10,0.44,28,155.2
828,207,911,248,186.4,21,24.84,0.18,4,10,0.86,28,155.1
850,212.5,935,255,212.5,21.2,2.55,0.2,4,9,0.013,28,153.2
828,207,911,248,186.4,21,24.84,0.18,4,10,0.44,7,153
828,207,911,248,186.4,21,16.56,0.18,4,10,0.86,28,152.6
1000,250,1000,0,200,50,5,0.16,4,12,0.018,28,151.8
828,207,911,248,186.4,21,8.28,0.18,4,10,0.86,28,150.4
850,212.5,935,255,212.5,21.2,0.85,0.2,4,9,0.013,28,149.8
850,212.5,935,255,212.5,21.2,25.5,0.2,4,10,0.4,28,148.6
1000,250,1000,0,200,50,15,0.16,4,12,0.018,28,148.4
828,207,911,248,186.4,21,24.84,0.18,4,20,0.86,28,148.1
850,212.5,935,255,212.5,21.2,25.5,0.2,4,10,0.44,28,147.2
850,212.5,935,255,212.5,21.2,17,0.2,4,10,0.44,28,143
850,212.5,935,255,212.5,21.2,4.25,0.2,4,9,0.013,28,141.7
850,212.5,935,255,212.5,21.2,25.5,0.2,4,10,0.86,28,140.8
828,207,911,248,186.4,21,16.56,0.18,4,10,0.44,7,140.1
850,212.5,935,255,212.5,21.2,25.5,0.2,4,10,0.44,28,139.1
850,212.5,935,255,212.5,21.2,5.95,0.2,4,9,0.013,28,137.1
828,207,911,248,186.4,21,24.84,0.18,4,10,0.44,3,136
850,212.5,935,255,212.5,21.2,17,0.2,4,10,0.86,28,135.8
828,207,911,248,186.4,21,8.28,0.18,4,10,0.44,7,135.1
875,150,1100,0,180,35,8.75,0.18,4,24,0.023,28,135.1
875,150,1100,0,180,35,6.5625,0.18,4,24,0.023,28,134.9
850,212.5,935,255,212.5,21.2,17,0.2,4,10,0.44,28,132.1
850,212.5,935,255,212.5,21.2,25.5,0.2,4,10,0.86,28,131.2
850,212.5,935,255,212.5,21.2,25.5,0.2,4,10,0.44,28,131.1
875,150,1100,0,180,35,6.5625,0.18,4,24,0.023,28,130.8
875,150,1100,0,180,35,8.75,0.18,4,24,0.023,28,130.1
875,150,1100,0,180,35,6.5625,0.18,4,24,0.023,28,129.8
828,207,911,248,186.4,21,16.56,0.18,4,10,0.44,3,129
850,212.5,935,255,212.5,21.2,8.5,0.2,4,10,0.86,28,128
850,212.5,935,255,212.5,21.2,8.5,0.2,4,10,0.44,28,127.4
850,212.5,935,255,212.5,21.2,17,0.2,4,10,0.86,28,126.3
828,207,911,248,186.4,21,24.84,0.18,4,10,0.86,7,125.6
850,212.5,935,255,212.5,21.2,8.5,0.2,4,10,0.44,28,125.5
875,150,1100,0,180,35,8.75,0.18,4,24,0.023,28,125.4
922,230,1152,0,184,11.52,13.83,0.16,4,12,0.018,7,125.1
828,207,911,248,186.4,21,16.56,0.18,4,10,0.86,7,123.6
850,212.5,935,255,212.5,21.2,8.5,0.2,4,10,0.44,28,123
828,207,911,248,186.4,21,8.28,0.18,4,10,0.86,7,121.8
850,212.5,935,255,212.5,21.2,25.5,0.2,4,10,0.86,28,121.7
850,212.5,935,255,212.5,21.2,17,0.2,4,10,0.44,28,121.6
850,212.5,935,255,212.5,21.2,8.5,0.2,4,10,0.86,28,121.1
850,212.5,935,255,212.5,21.2,25.5,0.2,3,15,0.6,28,165
936,140.4,1170,0,224.64,28.08,11.232,0.21,3,12,0.038,28,160.5
936,140.4,1170,0,224.64,28.08,7.488,0.21,3,12,0.038,28,154.8
936,140.4,1170,0,224.64,28.08,3.744,0.21,3,12,0.038,28,150.3
900,108,1000,0,161.28,18,3.06,0.16,3,54,0.054,28,139.8
850,212.5,935,255,212.5,21.2,2.55,0.2,3,9,0.017,28,138.9
900,108,1000,0,161.28,18,4.68,0.16,3,48,0.75,28,138.8
900,108,1000,0,161.28,18,6.21,0.16,3,48,0.75,28,137.8
833,167,836,363,184,24,1.666,0.18,3,20,0.034,28,135.7
833,167,836,363,184,24,1.666,0.18,3,20,0.034,28,135.6
900,108,1000,0,161.28,18,4.68,0.16,3,54,0.054,28,134.7
900,108,1000,0,161.28,18,6.21,0.16,3,54,0.054,28,132.7
900,108,1000,0,161.28,18,3.06,0.16,3,48,0.75,28,125.5
920,258,1030,0,235.6,30.6,92,0.2,2,18,0.15,7,134
920,258,1030,0,235.6,30.6,184,0.2,2,18,0.15,7,126
920,258,1030,0,235.6,30.6,92,0.2,2,12,0.15,7,125
920,258,1030,0,235.6,30.6,92,0.2,2,6,0.15,7,120
850,260,850,212,170,45,156,0.15,1,13,0.2,28,200
850,260,850,212,170,45,156,0.15,1,13,0.2,28,199.9
788.5,433.7,867.4,0,160.3,52.6,78,0.13,1,13,0.2,28,199.6
788.5,433.7,867.4,0,160.3,52.6,39,0.13,1,13,0.2,28,198.6
850,260,850,212,170,45,156,0.15,1,13,0.2,28,198.5
850,260,850,212,170,45,156,0.15,1,13,0.2,28,197.9
850,260,850,212,170,45,156,0.15,1,13,0.2,28,197.6
850,260,850,212,170,45,156,0.15,1,13,0.2,28,196.9
850,260,850,212,170,45,156,0.15,1,13,0.2,28,196.9
788.5,433.7,867.4,0,160.3,52.6,0,0.13,1,13,0.2,28,195.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,195.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,194.9
850,260,850,212,170,45,156,0.15,1,13,0.2,28,193.5
788.5,197.1,1104,0,160.3,50,156,0.16,1,13,0.2,28,192.3
850,260,850,212,170,45,156,0.15,1,13,0.2,28,192.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,192.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,191.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,190.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,188.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,187.5
788.5,197.1,1104,0,160.3,50,156,0.16,1,13,0.2,28,187.1
850,260,850,212,170,45,156,0.15,1,13,0.2,28,186.8
788.5,433.7,867.4,0,160.3,52.6,78,0.13,1,13,0.2,28,186.7
850,260,850,212,170,45,156,0.15,1,13,0.2,28,186.1
850,260,850,212,170,45,156,0.15,1,13,0.2,28,185.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,184.4
850,260,850,212,170,45,156,0.15,1,13,0.2,28,184
960,240,740.7,0,234,45,156,0.2,1,13,0.2,180,182.4
850,260,850,212,170,45,156,0.15,1,13,0.2,28,182.4
850,260,850,212,170,45,156,0.15,1,13,0.2,28,182.4
850,260,850,212,170,45,156,0.15,1,13,0.2,28,181.7
850,260,850,212,170,45,156,0.15,1,13,0.2,28,181
850,260,850,212,170,45,156,0.15,1,13,0.2,28,181
850,260,850,212,170,45,156,0.15,1,13,0.2,28,180.8
960,240,740.7,0,234,45,156,0.2,1,13,0.2,90,180.3
850,260,850,212,170,45,156,0.15,1,13,0.2,28,180.3
1151.11,211.89,1231,0,272.6,46.2,234,0.2,1,13,0.2,28,179
960,240,754,0,234,45,117,0.2,1,13,0.2,180,178.1
960,240,706.2,0,234,57,156,0.2,1,13,0.2,180,177.2
1151.11,211.89,1231,0,272.6,46.2,234,0.2,1,13,0.2,28,177
960,240,754,0,234,45,117,0.2,1,13,0.2,90,176.8
850,260,850,212,170,45,156,0.15,1,13,0.2,28,176.6
960,240,767.2,0,234,45,78,0.2,1,13,0.2,180,175.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,174.6
960,240,720.7,0,234,57,117,0.2,1,13,0.2,180,174.2
960,240,767.2,0,234,45,78,0.2,1,13,0.2,90,173.6
960,240,740.7,0,234,45,156,0.2,1,13,0.2,56,173.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,173.2
850,260,850,212,170,45,156,0.15,1,13,0.2,28,172.9
960,240,754,0,234,45,117,0.2,1,13,0.2,56,172.7
960,240,706.2,0,234,57,156,0.2,1,13,0.2,90,172.5
960,240,764.7,0,234,45,78,0.2,1,13,0.2,180,172.5
960,240,773.8,0,234,45,58.5,0.2,1,13,0.2,180,172.3
850,260,850,212,170,45,156,0.15,1,13,0.2,28,171.2
960,240,720.7,0,234,57,117,0.2,1,13,0.2,90,170.9
960,240,780.5,0,234,45,39,0.2,1,13,0.2,180,170.9
960,240,767.2,0,234,45,78,0.2,1,13,0.2,56,170.7
1151.11,211.89,1231,0,272.6,46.2,234,0.2,1,13,0.2,28,170.6
960,240,773.8,0,234,45,58.5,0.2,1,13,0.2,90,170.5
850,260,850,212,170,45,156,0.15,1,13,0.2,28,170.4
960,240,771.9,0,234,45,58.5,0.2,1,13,0.2,180,170.3
